round,client_id,scenario,total_power_usage,kwh,relevant_power_values,num_of_power_values,tasks_assigned,efficiency_per_task,efficiency,total_duration,time_per_task,avg_power
1,835230,apply,1616.890542240143,0.0004491362617333731,"[123.1, 123.1, 125.5, 110.7, 110.7, 110.7, 99.7, 99.7, 99.7, 83.2, 83.2, 85.3, 108.8, 108.8, 119.2, 119.2, 119.2, 126.5, 126.5, 130.0]",20,1,0.0004491362617333731,2226.4957991604865,14.613978147506714,14.613978147506714,110.64000000000001
1,835230,apply,2732.466428565979,0.0007590184523794387,"[123.1, 123.1, 125.5, 110.7, 110.7, 110.7, 99.7, 99.7, 99.7, 83.2, 83.2, 85.3, 108.8, 108.8, 119.2, 119.2, 119.2, 126.5, 126.5, 130.0, 141.7, 141.7, 141.7, 127.8, 127.8, 132.2]",26,1,0.0007590184523794387,1317.4910265555611,23.480228424072266,8.866250276565552,116.37307692307692
1,0,,4349.356970806122,0.0012081547141128118,,46,2,0.0006040773570564059,1771.993412858024,23.480228424072266,11.740114212036133,2174.678485403061
