round,client_id,scenario,total_power_usage,kwh,relevant_power_values,num_of_power_values,tasks_assigned,efficiency_per_task,efficiency,total_duration,time_per_task,avg_power
1,835230,apply,1455.400855042537,0.0004042780152895936,"[86.5, 86.5, 95.9, 95.9, 95.9, 84.8, 84.8, 86.2, 78.4, 78.4, 84.9, 84.9, 76.6, 76.6, 76.6, 100.2, 100.2, 110.3, 110.3, 110.3, 126.7, 126.7, 123.2, 130.6]",24,1,0.0004042780152895936,2473.5453380606837,15.111889123916626,15.111889123916626,96.30833333333332
1,835230,apply,2478.5879618048666,0.0006884966560569074,"[86.5, 86.5, 95.9, 95.9, 95.9, 84.8, 84.8, 86.2, 78.4, 78.4, 84.9, 84.9, 76.6, 76.6, 76.6, 100.2, 100.2, 110.3, 110.3, 110.3, 126.7, 126.7, 123.2, 130.6, 138.0, 138.0, 138.0, 128.4, 128.4, 127.9]",30,1,0.0006884966560569074,1452.4398792684121,23.908439874649048,23.908439874649048,103.67
1,0,,3933.9888168474035,0.0010927746713465009,,54,2,0.0005463873356732504,1962.9926086645478,19.510164499282837,19.510164499282837,1966.9944084237018
2,835230,apply,1194.6359511772791,0.00033184331977146643,"[143.7, 143.7, 137.2, 134.5, 134.5, 129.8]",6,1,0.00033184331977146643,3013.470335002311,8.705144166946411,8.705144166946411,137.23333333333332
2,835230,apply,2353.947248840332,0.0006538742357889811,"[143.7, 143.7, 137.2, 134.5, 134.5, 129.8, 124.2, 124.2, 141.8, 141.8, 141.8, 130.2, 130.2, 131.2, 127.2]",15,1,0.0006538742357889811,1529.3460810447361,17.514488458633423,17.514488458633423,134.4
2,0,,3548.5832000176115,0.0009857175555604476,,21,2,0.0004928587777802238,2271.4082080235235,13.109816312789917,13.109816312789917,1774.2916000088057
