round,client_id,scenario,total_power_usage,kwh,relevant_power_values,num_of_power_values,tasks_assigned,efficiency_per_task,efficiency,total_duration,time_per_task,avg_power
1,835230,apply,1444.0494116321206,0.00040112483656447795,"[85.7, 85.7, 100.2, 100.2, 100.2, 87.3, 87.3, 87.5, 78.4, 78.4, 78.9, 96.9, 96.9, 112.3, 112.3, 112.3]",16,1,0.00040112483656447795,2492.9894856791225,15.398061037063599,15.398061037063599,93.78125
1,835230,apply,2443.262101313163,0.0006786839170314341,"[85.7, 85.7, 100.2, 100.2, 100.2, 87.3, 87.3, 87.5, 78.4, 78.4, 78.9, 96.9, 96.9, 112.3, 112.3, 112.3, 125.6, 125.6, 119.5, 95.7, 95.7, 84.8, 84.8, 84.8, 111.1, 111.1, 111.1, 118.2, 118.2]",29,1,0.0006786839170314341,1473.4399547494857,24.54519033432007,24.54519033432007,99.54137931034481
,0,,2443.262101313163,0.0006786839170314341,,29,1,0.0006786839170314341,1473.4399547494857,24.54519033432007,24.54519033432007,2443.262101313163
2,835230,apply,1204.2504638433456,0.0003345140177342627,"[129.0, 129.0, 129.0, 119.9, 119.9, 119.9, 130.2, 130.2, 127.4]",9,1,0.0003345140177342627,2989.4113459675646,9.553331136703491,9.553331136703491,126.05555555555556
2,835230,apply,2521.6684871935845,0.0007004634686648846,"[129.0, 129.0, 129.0, 119.9, 119.9, 119.9, 130.2, 130.2, 127.4, 138.3, 138.3, 146.1, 146.1, 146.1, 136.8, 136.8, 135.4, 129.6, 129.6, 127.5]",20,1,0.0007004634686648846,1427.6261999873395,19.066715717315674,19.066715717315674,132.255
,0,,2521.6684871935845,0.0007004634686648846,,20,1,0.0007004634686648846,1427.6261999873395,19.066715717315674,19.066715717315674,2521.6684871935845
