client_id,total_power_usage,kwh,relevant_power_values,num_of_power_values,tasks_assigned,efficiency_per_task,efficiency,total_duration,time_per_task,avg_power
764045,311.0849261624472,8.641247948956865e-05,"[21.4, 21.4, 35.7, 35.7, 35.7, 28.0, 28.0, 28.0, 31.5, 31.5, 29.0, 29.0, 29.0, 35.4, 35.4, 35.6, 28.5, 28.5, 31.8, 31.8, 31.8]",21,2,4.320623974478433e-05,23144.8051463612,10.164592266082764,5.082296133041382,30.604761904761897
444626,115.52656944274902,3.209071373409695e-05,[11.36],1,0,0.0,0.0,10.169592380523682,0.0,11.36
283436,29.491817903518676,8.192171639866298e-06,[2.9],1,0,0.0,0.0,10.169592380523682,0.0,2.9
854514,115.06893778562545,3.19635938293404e-05,[11.315],1,0,0.0,0.0,10.169592380523682,0.0,11.315
943099,42.712287998199464,1.1864524443944296e-05,[4.2],1,0,0.0,0.0,10.169592380523682,0.0,4.2
956975,739.3293660640717,0.00020536926835113104,[72.7],1,0,0.0,0.0,10.169592380523682,0.0,72.7
0,739.3293660640717,0.00020536926835113104,,1,0,0.0,0.0,10.169592380523682,0.0,739.3293660640717
764045,325.964766068892,9.054576835247e-05,"[29.8, 29.8, 38.2, 38.2, 38.2, 35.3, 35.3, 29.4, 29.4, 29.4, 31.2, 31.2, 28.0, 28.0, 37.4, 37.4, 36.3, 28.6, 28.6, 31.3, 31.3, 31.3]",22,2,4.5272884176235e-05,22088.276861427086,10.049362182617188,5.024681091308594,32.43636363636363
444626,114.18348358154296,3.171763432820638e-05,[11.36],1,0,0.0,0.0,10.051362991333008,0.0,11.36
283436,29.148952674865722,8.096931298573812e-06,[2.9],1,0,0.0,0.0,10.051362991333008,0.0,2.9
854514,113.73117224693299,3.159199229081472e-05,[11.315],1,0,0.0,0.0,10.051362991333008,0.0,11.315
943099,42.215724563598634,1.1726590156555177e-05,[4.2],1,0,0.0,0.0,10.051362991333008,0.0,4.2
956975,730.7340894699097,0.00020298169151941936,[72.7],1,0,0.0,0.0,10.051362991333008,0.0,72.7
0,730.7340894699097,0.00020298169151941936,,1,0,0.0,0.0,10.051362991333008,0.0,730.7340894699097
