round,client_id,scenario,total_power_usage,kwh,relevant_power_values,num_of_power_values,tasks_assigned,efficiency_per_task,efficiency,total_duration,time_per_task,avg_power
1,835230,apply,1973.0567592396458,0.0005480713220110127,"[90.4, 90.4, 90.4, 83.5, 83.5, 83.5, 75.3, 75.3, 75.3, 98.0, 98.0, 98.0, 108.8, 108.8, 113.0, 115.5, 115.5]",17,1,0.0005480713220110127,1824.5800497839339,20.921884298324585,20.921884298324585,94.30588235294118
1,835230,apply,3220.3518412146077,0.0008945421781151688,"[90.4, 90.4, 90.4, 83.5, 83.5, 83.5, 75.3, 75.3, 75.3, 98.0, 98.0, 98.0, 108.8, 108.8, 113.0, 115.5, 115.5, 120.8, 132.6, 132.6, 121.2, 121.2, 133.3, 133.3, 118.1, 118.1, 124.8, 124.8, 129.9]",29,1,0.0008945421781151688,1117.8902733318114,29.991394519805908,29.991394519805908,107.37586206896552
1,0,,5193.408600454253,0.0014426135001261815,,46,2,0.0007213067500630907,1471.2351615578727,25.456639409065247,25.456639409065247,2596.7043002271266
2,835230,apply,1249.484640343984,0.0003470790667622178,"[148.2, 148.2, 148.2, 144.5, 131.3, 131.3, 128.3, 122.3, 122.3]",9,1,0.0003470790667622178,2881.1878783951415,9.182885646820068,9.182885646820068,136.06666666666666
2,835230,apply,2433.0530220667524,0.000675848061685209,"[148.2, 148.2, 148.2, 144.5, 131.3, 131.3, 128.3, 122.3, 122.3, 139.9, 139.9, 129.4, 129.4, 143.3, 143.3, 136.7, 129.9, 129.9, 114.9, 114.9, 114.9]",21,1,0.000675848061685209,1479.6225019962726,18.306740760803223,18.306740760803223,132.90476190476193
2,0,,3682.5376624107366,0.0010229271284474268,,30,2,0.0005114635642237134,2180.4051901957073,13.744813203811646,13.744813203811646,1841.2688312053683
