round,client_id,scenario,total_power_usage,kwh,relevant_power_values,num_of_power_values,tasks_assigned,efficiency_per_task,efficiency,total_duration,time_per_task,avg_power
1,835230,apply,1694.5245885113873,0.00047070127458649646,"[122.3, 122.3, 122.3, 115.3, 115.3, 115.3, 106.8, 106.8, 103.6, 110.5, 113.1, 113.1]",12,1,0.00047070127458649646,2124.489679528665,14.878389596939087,14.878389596939087,113.89166666666665
1,835230,apply,2751.3141891099785,0.0007642539414194385,"[122.3, 122.3, 122.3, 115.3, 115.3, 115.3, 106.8, 106.8, 103.6, 110.5, 113.1, 113.1, 125.1, 125.1, 125.1, 118.8, 118.8, 105.2, 105.2, 105.2, 106.2, 112.0, 112.0, 112.0, 124.7, 124.7, 125.3]",27,1,0.0007642539414194385,1308.46561045235,23.869889497756958,8.991499900817871,115.26296296296296
1,0,,4445.838777621366,0.001234955216005935,,39,2,0.0006174776080029675,1716.4776449905075,19.374139547348022,11.934944748878479,2222.919388810683
