round,client_id,scenario,total_power_usage,kwh,relevant_power_values,num_of_power_values,tasks_assigned,efficiency_per_task,efficiency,total_duration,time_per_task,avg_power
1,835230,apply,1420.608173888922,0.0003946133816358117,"[75.7, 75.7, 95.3, 95.3, 92.1, 80.0, 80.0, 80.0, 85.9, 85.9, 85.9, 108.4, 108.4, 115.4, 115.4, 115.4]",16,1,0.0003946133816358117,2534.1259230861538,15.205867528915405,15.205867528915405,93.42500000000001
1,835230,apply,2431.216249720256,0.0006753378471445156,"[75.7, 75.7, 95.3, 95.3, 92.1, 80.0, 80.0, 80.0, 85.9, 85.9, 85.9, 108.4, 108.4, 115.4, 115.4, 115.4, 122.2, 122.2, 122.2, 108.4, 108.4, 108.4, 86.9, 86.9, 85.4, 109.6, 109.6, 120.8, 120.8, 120.8]",30,1,0.0006753378471445156,1480.7403497793453,24.092121124267578,24.092121124267578,100.91333333333336
,0,,2431.216249720256,0.0006753378471445156,,30,1,0.0006753378471445156,1480.7403497793453,24.092121124267578,24.092121124267578,2431.216249720256
2,835230,apply,1166.0160394191744,0.000323893344283104,"[114.7, 114.7, 135.1, 135.1, 132.5, 117.8, 117.8, 117.8, 132.4, 132.4, 132.4]",11,1,0.000323893344283104,3087.436088609263,9.276181697845459,9.276181697845459,125.70000000000003
2,835230,apply,2566.120853746505,0.000712811348262918,"[114.7, 114.7, 135.1, 135.1, 132.5, 117.8, 117.8, 117.8, 132.4, 132.4, 132.4, 157.0, 157.0, 157.0, 143.1, 143.1, 141.6, 141.6, 133.2, 133.2, 131.9]",21,1,0.000712811348262918,1402.895734526316,19.099928379058838,19.099928379058838,134.35238095238094
,0,,2566.120853746505,0.000712811348262918,,21,1,0.000712811348262918,1402.895734526316,19.099928379058838,19.099928379058838,2566.120853746505
3,835230,apply,1256.60469032228,0.00034905685842285557,"[126.3, 126.3, 145.9, 145.9, 145.9, 135.4, 135.4, 132.8]",8,1,0.00034905685842285557,2864.8627748450563,9.189905405044556,9.189905405044556,136.7375
3,835230,apply,2524.4094325582187,0.0007012248423772829,"[126.3, 126.3, 145.9, 145.9, 145.9, 135.4, 135.4, 132.8, 142.7, 142.7, 135.3, 135.3]",12,1,0.0007012248423772829,1426.0761164847122,18.360454082489014,18.360454082489014,137.49166666666667
,0,,2524.4094325582187,0.0007012248423772829,,12,1,0.0007012248423772829,1426.0761164847122,18.360454082489014,18.360454082489014,2524.4094325582187
